segment_id,country_code,road_class_norm,land_use,sss,sss_band,speed_limit,ss_limit,speed_85th,sub_score_limit_alignment,sub_score_limit_credibility,sub_score_vru_risk,sss_recommendation,image_url,review_group
34179,TH,motorway,rural,14.294687118252845,Acceptable,90.0,100.0,106.875,0.0,7.570860262784099,31.108000000000004,Posted limit (90 km/h) is below Safe System standard (100 km/h) — limit may be overly restrictive. 85th percentile speed (107 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=13.638059,100.893405",BOTTOM 20 (lowest SSS)
98,TH,trunk,rural,14.371896000000001,Acceptable,80.0,90.0,89.88888888,0.0,0.0,41.062560000000005,Posted limit (80 km/h) is below Safe System standard (90 km/h) — limit may be overly restrictive. 85th percentile speed (90 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=14.102808,100.509209",BOTTOM 20 (lowest SSS)
109,TH,trunk,rural,14.371896000000001,Acceptable,90.0,90.0,94.85714285,0.0,0.0,41.062560000000005,Posted limit (90 km/h) aligns with Safe System standard (90 km/h). Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=14.102922,100.509056",BOTTOM 20 (lowest SSS)
136,TH,trunk,rural,14.371896000000001,Acceptable,80.0,90.0,78.0,0.0,0.0,41.062560000000005,Posted limit (80 km/h) is below Safe System standard (90 km/h) — limit may be overly restrictive. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=15.021885,104.953421",BOTTOM 20 (lowest SSS)
139,TH,trunk,rural,14.371896000000001,Acceptable,80.0,90.0,51.0,0.0,0.0,41.062560000000005,Posted limit (80 km/h) is below Safe System standard (90 km/h) — limit may be overly restrictive. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=15.004752,104.962663",BOTTOM 20 (lowest SSS)
547,TH,trunk,rural,14.371896000000001,Acceptable,90.0,90.0,39.0,0.0,0.0,41.062560000000005,Posted limit (90 km/h) aligns with Safe System standard (90 km/h). Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=16.722031,98.492920",BOTTOM 20 (lowest SSS)
581,TH,trunk,rural,14.371896000000001,Acceptable,90.0,90.0,92.0,0.0,0.0,41.062560000000005,Posted limit (90 km/h) aligns with Safe System standard (90 km/h). Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=16.749273,98.526892",BOTTOM 20 (lowest SSS)
586,TH,trunk,rural,14.371896000000001,Acceptable,90.0,90.0,88.0,0.0,0.0,41.062560000000005,Posted limit (90 km/h) aligns with Safe System standard (90 km/h). Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=16.749147,98.527113",BOTTOM 20 (lowest SSS)
587,TH,trunk,rural,14.371896000000001,Acceptable,90.0,90.0,94.0,0.0,0.0,41.062560000000005,Posted limit (90 km/h) aligns with Safe System standard (90 km/h). Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=16.745652,98.520821",BOTTOM 20 (lowest SSS)
612,TH,trunk,rural,14.371896000000001,Acceptable,90.0,90.0,61.0,0.0,0.0,41.062560000000005,Posted limit (90 km/h) aligns with Safe System standard (90 km/h). Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=16.756045,98.539900",BOTTOM 20 (lowest SSS)
